id_contrat,age_assure,anciennete_mois,garantie,nb_contrats_foyer,canal_souscription,mode_paiement,prime_annuelle,hausse_prime_pct,nb_sinistres_3ans,delai_reglement_moyen_jours,satisfaction_reglement,nb_contacts_reclamation_1an,nb_contacts_conseil_1an,score_nps,digital_engagement,resiliation
C100000,50,42,Auto,4,Comparateur en ligne,Annuel,462.92,2.6,2,9.0,9.5,0,0,7.6,0,0
C100001,29,40,Auto+Habitation,3,Conseiller téléphonique,Mensuel,481.04,13.9,0,,,1,1,4.4,1,0
C100002,56,101,Auto,1,Conseiller téléphonique,Mensuel,456.44,10.7,1,23.3,7.8,0,2,8.9,1,0
C100003,59,11,Multi-garanties,2,Agence,Mensuel,150.0,3.7,1,28.8,8.7,0,2,2.9,0,1
C100004,18,125,Auto,2,Agence,Mensuel,1051.74,5.2,0,,,0,9,5.1,0,0
C100005,25,15,Habitation,2,Conseiller téléphonique,Mensuel,742.63,-1.8,0,,,1,2,4.3,0,0
C100006,47,39,Auto,2,Agence,Mensuel,669.23,2.8,1,17.1,7.1,0,0,8.7,0,0
C100007,40,53,Auto,1,Agence,Mensuel,531.2,3.9,2,12.4,4.9,0,1,10.0,0,0
C100008,45,18,Santé,1,Agence,Mensuel,200.62,15.9,1,36.9,7.1,1,0,3.4,1,1
C100009,32,14,Habitation,1,Conseiller téléphonique,Mensuel,523.14,5.4,0,,,0,1,7.0,0,0
C100010,58,36,Santé,1,Agence,Mensuel,1509.14,12.1,2,26.0,3.4,0,0,6.4,0,0
C100011,57,62,Habitation,3,Agence,Mensuel,967.43,-2.0,1,5.6,10.0,0,0,4.4,1,0
C100012,46,74,Santé,1,Comparateur en ligne,Trimestriel,423.14,9.1,2,36.9,8.4,0,0,6.8,0,0
C100013,62,12,Santé,1,Agence,Trimestriel,490.49,-1.2,1,20.8,4.0,0,0,5.5,0,0
C100014,52,35,Multi-garanties,4,Conseiller téléphonique,Mensuel,932.61,10.5,0,,,0,0,4.8,1,0
C100015,32,7,Auto+Habitation,1,Site web direct,Trimestriel,1041.6,1.2,1,14.1,7.5,0,0,8.4,1,0
C100016,51,18,Auto,1,Agence,Mensuel,449.24,10.3,0,,,0,1,5.5,0,1
C100017,31,89,Habitation,1,Agence,Trimestriel,277.0,-1.7,2,38.1,5.6,1,0,8.2,0,0
C100018,58,51,Auto,3,Agence,Mensuel,1180.33,-3.0,0,,,1,3,5.4,0,0
C100019,44,20,Auto,1,Site web direct,Mensuel,725.75,5.0,0,,,0,1,6.5,1,0
C100020,42,83,Auto,1,Site web direct,Mensuel,944.16,1.7,2,22.9,7.3,1,1,3.7,0,0
